,hit_rate,volatility
16228948,0.964383561644,0.0
8909380,0.9589041095890001,0.0
14078522,0.953424657534,0.0
13006928,0.238356164384,14.542187865080328
7898757,0.0,
11254337,0.08767123287669999,0.0
16068508,0.115068493151,2.3114866474937616
654641,0.9780821917810001,9.781472497278688
14859779,0.9972602739730001,0.0
4839375,0.838356164384,0.0
14281484,0.290410958904,3.2728779618371626
8428885,0.682191780822,1.4507389405032056
1557529,0.961643835616,21.860106829158436
18042820,0.18356164383600002,8.296010576795915
5393269,0.0,
5851860,0.11232876712300001,4.8249549596736365
17144596,0.232876712329,0.0
6153123,0.9260273972600002,12.132610883074449
13748272,0.0,
4172374,0.9863013698630001,0.0
9174553,0.20547945205499998,1.5106142974153112
2516036,0.9780821917810001,2.5326001786072667
9303822,0.0,
17808419,0.243835616438,0.0
3052357,0.643835616438,0.0
15236748,0.465753424658,2.221318539823433
1471992,0.956164383562,13.129032378772758
1552495,0.895890410959,24.629958787357374
18111734,0.0767123287671,0.0
9167855,0.0,
1080947,0.8438356164380001,18.093503918382602
6504741,0.98904109589,10.931507457609372
17923073,1.0,3.7241171573930343
18359284,0.0739726027397,0.0
13308717,0.0438356164384,0.6959705453537527
14555547,0.728767123288,1.4292093945501891
8327493,0.0,
12136080,0.583561643836,0.0
9645396,0.120547945205,4.858748606022844
9839577,0.197260273973,5.673402858955108
18490248,0.07123287671230001,0.0
17831408,0.441095890411,2.231620921965512
9048768,0.619178082192,0.0
2560403,0.441095890411,0.0
1051837,0.98904109589,10.978389074218823
12190450,0.0,
18182249,0.10410958904100001,7.724524745799992
9778002,0.238356164384,6.866313017841338
15720360,0.857534246575,25.23174018728323
3175657,0.852054794521,5.983814841165239
9111945,0.460273972603,1.3552618543578758
18012316,0.983561643836,0.0
1157084,0.40821917808200003,0.0
16707824,0.40547945205499997,3.8614790972003696
13671213,0.380821917808,1.1597247263550163
16568219,0.22739726027399998,4.5337078848739205
8295931,1.0,0.0
14536547,0.9972602739730001,0.0
15043283,0.224657534247,21.82381727826011
639945,0.060273972602699996,33.402132856134244
5698345,0.791780821918,0.0
7842682,0.838356164384,10.886112914988596
1370927,0.0,
16245464,0.6849315068490001,4.810862708496277
7789103,0.0,
6144355,0.19178082191799997,4.103259033241449
12627455,1.0,0.0
16884487,0.9945205479449999,5.962294280908447
3510544,0.0109589041096,0.0
18053971,0.2,0.0
15788511,0.569863013699,18.382681645164155
6810048,0.0,
5798058,0.9945205479449999,0.0
15430980,0.9945205479449999,4.521264625659206
12610053,0.915068493151,0.0
683355,0.9945205479449999,0.0
9856629,0.131506849315,0.6959705453537527
16476510,0.813698630137,62.48060284654878
10576630,0.0,
17257406,0.224657534247,0.0
18501679,0.21369863013700002,4.562733877175508
16533016,0.0493150684932,3.7267799624996494
8271459,0.9506849315070001,12.392540029258814
6239043,0.772602739726,0.0
5059964,0.501369863014,2.2669759657445274
15084404,0.238356164384,7.306837877820837
14821131,0.419178082192,4.526350246583209
16981215,0.22739726027399998,24.61726183982772
989831,0.915068493151,5.366326116276492
11299967,0.13972602739700002,0.0
17174876,0.0219178082192,0.9921567416492216
4589416,0.312328767123,2.267590518370275
6423582,0.920547945205,0.0
12814508,1.0,0.0
11627514,0.9178082191779999,9.667891294185415
18411608,0.972602739726,7.197169317260309
17560598,0.21369863013700002,2.447744470211912
951044,0.9753424657529999,0.0
18201732,0.317808219178,2.3879154736204047
17883432,0.246575342466,2.290614236454258
16759239,1.0,1.354145446133847
6390085,1.0,0.0
5909633,0.956164383562,21.821500037640448
308582,1.0,0.0
11109046,1.0,0.0
404691,0.9753424657529999,0.0
16779171,0.0,
288038,0.991780821918,0.0
8115918,1.0,0.0
18109102,0.523287671233,1.6613779010955405
17880196,0.394520547945,0.08304347738264829
4510204,0.0,
8867000,0.832876712329,2.1691678421514142
6076275,1.0,0.0
6201466,0.991780821918,4.731417651625034
892469,0.895890410959,0.288662985734904
8012663,0.0,
5805878,1.0,0.0
13605429,1.0,7.992556116445824
17865517,0.490410958904,2.5168822321538102
300407,1.0,0.0
14500599,0.27123287671199997,19.82107496463804
12814880,1.0,0.0
13224934,1.0,0.0
16696933,0.983561643836,6.122185008413278
17811587,0.153424657534,2.5975238405144268
16696832,0.865753424658,3.8705765930872165
16696693,0.493150684932,3.276982012631611
6261398,0.528767123288,34.77703147055302
12814934,1.0,0.0
5884952,1.0,0.0
4777199,0.0,
12814678,1.0,0.0
10026290,1.0,0.0
2784096,0.884931506849,2.7046847885871834
14120858,0.241095890411,0.0
3209078,0.93698630137,3.3453372143834006
14284554,0.20821917808200002,0.0
11859089,0.493150684932,2.007847259450762
12036625,0.0,
3123678,0.057534246575300006,2.9354352395090357
5175424,1.0,0.0
15455071,0.0794520547945,5.161828248597028
16599206,0.482191780822,1.112244027567468
16758832,0.983561643836,3.4546274995102966
16758345,0.9863013698630001,3.6346412868329394
16759072,0.934246575342,0.0
2203321,0.164383561644,6.592588431126443
16949576,1.0,1.1044664435719824
14328478,0.9780821917810001,12.320971480429744
6201593,0.9863013698630001,7.713832372857435
13476058,0.8082191780820001,23.780265283405747
6201491,0.991780821918,4.25035707206725
6201435,0.991780821918,2.839624487917366
6201377,1.0,5.800696860576799
3250171,0.21369863013700002,0.0
300343,1.0,0.0
822309,1.0,0.0
12815173,1.0,0.0
12815098,1.0,0.0
12814568,1.0,0.0
12814547,1.0,0.0
12814469,1.0,0.0
951058,0.9068493150679999,3.025833225116428
8880869,0.912328767123,17.782405959527992
1869249,1.0,15.798363538228266
300371,1.0,0.0
13301943,0.27671232876699997,8.370489332033141
1403949,1.0,2.7082908922677005
1273424,0.16712328767100001,6.148087407409567
14085238,0.0,
11824444,1.0,0.0
16215239,1.0,3.5880831096250083
9920792,0.0,
17588101,0.991780821918,109.636147583699
