id,hit_rate
16228948,0.964383562
8909380,0.95890411
14078522,0.953424658
13006928,0.238356164
7898757,0
11254337,0.087671233
16068508,0.115068493
654641,0.978082192
14859779,0.997260274
4839375,0.838356164
14281484,0.290410959
8428885,0.682191781
1557529,0.961643836
18042820,0.183561644
5393269,0
5851860,0.112328767
17144596,0.232876712
6153123,0.926027397
13748272,0
4172374,0.98630137
9174553,0.205479452
2516036,0.978082192
9303822,0
17808419,0.243835616
3052357,0.643835616
15236748,0.465753425
1471992,0.956164384
1552495,0.895890411
18111734,0.076712329
9167855,0
1080947,0.843835616
6504741,0.989041096
17923073,1
18359284,0.073972603
13308717,0.043835616
14555547,0.728767123
8327493,0
12136080,0.583561644
9645396,0.120547945
9839577,0.197260274
18490248,0.071232877
17831408,0.44109589
9048768,0.619178082
2560403,0.44109589
1051837,0.989041096
12190450,0
18182249,0.104109589
9778002,0.238356164
15720360,0.857534247
3175657,0.852054795
9111945,0.460273973
18012316,0.983561644
1157084,0.408219178
16707824,0.405479452
13671213,0.380821918
16568219,0.22739726
8295931,1
14536547,0.997260274
15043283,0.224657534
639945,0.060273973
5698345,0.791780822
7842682,0.838356164
1370927,0
16245464,0.684931507
7789103,0
6144355,0.191780822
12627455,1
16884487,0.994520548
3510544,0.010958904
18053971,0.2
15788511,0.569863014
6810048,0
5798058,0.994520548
15430980,0.994520548
12610053,0.915068493
683355,0.994520548
9856629,0.131506849
16476510,0.81369863
10576630,0
17257406,0.224657534
18501679,0.21369863
16533016,0.049315068
8271459,0.950684932
6239043,0.77260274
5059964,0.501369863
15084404,0.238356164
14821131,0.419178082
16981215,0.22739726
989831,0.915068493
11299967,0.139726027
17174876,0.021917808
4589416,0.312328767
6423582,0.920547945
12814508,1
11627514,0.917808219
18411608,0.97260274
17560598,0.21369863
951044,0.975342466
18201732,0.317808219
17883432,0.246575342
16759239,1
6390085,1
5909633,0.956164384
308582,1
11109046,1
404691,0.975342466
16779171,0
288038,0.991780822
8115918,1
18109102,0.523287671
17880196,0.394520548
4510204,0
8867000,0.832876712
6076275,1
6201466,0.991780822
892469,0.895890411
8012663,0
5805878,1
13605429,1
17865517,0.490410959
300407,1
14500599,0.271232877
12814880,1
13224934,1
16696933,0.983561644
17811587,0.153424658
16696832,0.865753425
16696693,0.493150685
6261398,0.528767123
12814934,1
5884952,1
4777199,0
12814678,1
10026290,1
2784096,0.884931507
14120858,0.24109589
3209078,0.936986301
14284554,0.208219178
11859089,0.493150685
12036625,0
3123678,0.057534247
5175424,1
15455071,0.079452055
16599206,0.482191781
16758832,0.983561644
16758345,0.98630137
16759072,0.934246575
2203321,0.164383562
16949576,1
14328478,0.978082192
6201593,0.98630137
13476058,0.808219178
6201491,0.991780822
6201435,0.991780822
6201377,1
3250171,0.21369863
300343,1
822309,1
12815173,1
12815098,1
12814568,1
12814547,1
12814469,1
951058,0.906849315
8880869,0.912328767
1869249,1
300371,1
13301943,0.276712329
1403949,1
1273424,0.167123288
14085238,0
11824444,1
16215239,1
9920792,0
17588101,0.991780822
17981168,0.276712329
9392107,0.82739726
11360700,0.928767123
5526921,0.208219178
6574654,1
2509881,0.17260274
9127517,1
13453070,1
13845538,0.978082192
16703741,0.460273973
10370748,0.169863014
14761805,0.657534247
15154,0.408219178
16179654,1
9138432,0.956164384
14695050,0
15412855,1
13000071,0.58630137
404795,1
16590143,0.482191781
13576960,0
12591975,1
16589205,0.389041096
13378317,0.454794521
1641253,0
2430715,0.035616438
776201,1
1444920,1
13175834,0
16780292,1
16780115,0.750684932
17697566,0.243835616
9111410,0.17260274
10235519,0.969863014
288061,0.975342466
16225594,0.493150685
12149510,0.920547945
2387536,1
10784388,1
15844552,0.704109589
4782664,0.246575342
15327483,0.84109589
4496449,0.205479452
4491403,0.923287671
4090410,0.975342466
3413115,0.917808219
1914160,0.928767123
12918311,0.912328767
262430,0.235616438
11662340,0.991780822
13418973,0.97260274
17512016,0.780821918
15939143,0.687671233
15523907,0.476712329
18426039,0.983561644
16838403,0.62739726
7025105,0.008219178
17675972,0.490410959
17528183,0.454794521
16234017,0.098630137
6286975,1
18464236,0.468493151
8106112,0.969863014
3125907,1
13753198,0.920547945
1180742,0.731506849
8825870,0.490410959
10410020,0.852054795
12901557,0.997260274
14787410,0.01369863
14407767,0.797260274
16437992,0.501369863
18241905,0.350684932
17946343,1
8344112,0
15356914,0.476712329
11773492,0
16798213,0.054794521
804614,0.950684932
18392195,0.983561644
3908406,0.989041096
5918354,0.904109589
6378358,0.180821918
14633517,0.77260274
18369038,0.989041096
14150271,0.726027397
18075939,0
9824768,0.054794521
15681036,0.01369863
17798943,0.136986301
10502443,0.306849315
15452811,0.630136986
18124977,0.764383562
11416478,0.97260274
4099964,0.997260274
12436342,0
8001276,0.969863014
13189654,1
3986579,1
15990498,1
14789327,0.939726027
15990773,0.936986301
15990734,0.871232877
15990662,0.783561644
14021689,0.821917808
4616597,0.865753425
16690152,0.783561644
7023661,0.071232877
9564654,0.679452055
8969933,0.238356164
12968553,0
9823038,0.030136986
6937614,0
8475318,0.38630137
16700084,0.082191781
14009312,0.024657534
14726349,0.257534247
14138133,0.928767123
2978553,0.945205479
10596993,0
6730240,0.421917808
16690643,0
13999043,0.04109589
17080546,0.849315068
17513928,0.249315068
11508488,0.95890411
16882177,0.084931507
8034435,0.846575342
15898567,0.975342466
11180228,0.934246575
6263667,0.717808219
16617589,0.989041096
14454364,0.980821918
13995455,0.490410959
14642492,0.334246575
1412311,0.854794521
14649888,0.082191781
16811850,0.482191781
4031714,0.863013699
16220943,0.945205479
9732346,0.947945205
13418404,0.145205479
2586819,0.928767123
3897363,0.991780822
15757827,0.493150685
11103145,0.389041096
14052019,0.931506849
11758214,1
4155987,1
17000756,0.095890411
16084384,0.493150685
11168558,0.975342466
15754813,0.21369863
18112809,0.810958904
14109693,0.032876712
13656004,0.882191781
14769537,0.326027397
15555116,0.375342466
